Scholarship Name,Deadline,Amount,Description,Location,Years,Link
Order Sons of Italy in America National Leadership Grant,Unknown deadline,500.0,"Applicant must be of Italian heritage and be a full-time student attending or planning on attending an accredited four-year institution who has demonstrated exceptional leadership qualities and a distinguished level of scholastic achievement. Recipients will be officially recognized in May at the SIF&#039;s National Education &amp; Leadership Awards (NELA) Gala in Washington, DC. Monetary awards are presented directly to students&#039; academic institutions in accordance with eligibility requirements.",No Geographic Restrictions,"['College junior', 'College freshman', 'College senior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/order-sons-of-italy-in-america-national-leadership-grant
Entrance Scholarship,Unknown deadline,500.0,"Applicant must be an incoming first-year student. Selection based upon portfolio rating, GPA, and SAT Reasoning/ACT score.",No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/entrance-scholarship
Agnes Jones Jackson Scholarship,Unknown deadline,500.0,Applicant must be current member of the NAACP and must not have reached the age of 25 by the application deadline. Applicant must be a citizen of the United States and be enrolled in an accredited college or university in the United States. Undergraduate students must be full-time with a GPA of at least 2.5 (C+). Graduate students may be full or part-time with a GPA of 3.0 (B). Applicant must demonstrate financial need. Renewal of the Agnes Jones Jackson Scholarship is competitive. Please refer to the NAACP National Website or call the NAACP National Education Department at 410 580-5760 for more information.,No Geographic Restrictions,"['College freshman', 'Master&#039;s-level study', 'College senior', 'Doctoral-level study', 'College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/agnes-jones-jackson-scholarship
Fellowship in Jewish Studies,Unknown deadline,500.0,"Applicant must have an interest in Jewish studies. Award is to assist well-qualified individuals in carrying out an independent scholarly, literary, or art project, in a field of Jewish specialization which makes a significant contribution to the understanding, preservation, enhancement, or transmission of Jewish culture.",No Geographic Restrictions,['High school senior'],https://www.collegescholarships.org/financial-aid/scholarship/fellowship-in-jewish-studies
Doctoral Scholarship,Unknown deadline,500.0,Applicant must be a doctoral student specializing in Jewish fields. Priority is given to candidates whose dissertation topics have been approved.,No Geographic Restrictions,['Doctoral-level study'],https://www.collegescholarships.org/financial-aid/scholarship/doctoral-scholarship
AGBU Fellowships for U.S. Based Study,Unknown deadline,500.0,"Applicant must be of Armenian heritage, be a full-time graduate student seeking a master&#039;s or doctorate degree at a highly- or most-competitive U.S. institution, and have a minimum 3.5 GPA in undergraduate work.",No Geographic Restrictions,['Master&#039;s-level study'],https://www.collegescholarships.org/financial-aid/scholarship/agbu-fellowships-for-us-based-study
Anna and Charles Stockwitz Children and Youth Loan,Unknown deadline,500.0,"Applicant must be Jewish, be a resident of the San Francisco Bay area, and have a cosigner who resides in the Bay area.",San Francisco,"['College sophomore', 'College junior', 'Master&#039;s-level study', 'Other postgraduate-level study', 'College senior', 'College freshman', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/anna-and-charles-stockwitz-children-and-youth-loan
Vivienne Camp College Scholarship,Unknown deadline,500.0,"Applicant must be Jewish, reside in Marin County, San Francisco County, San Mateo County, or Sonoma County, Calif., and demonstrate academic achievement, promise, and financial need","Marin, San Francisco, San Mateo, Sonoma","['College senior', 'College freshman', 'College junior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/vivienne-camp-college-scholarship
Jacob Rassen Memorial Scholarship,Unknown deadline,500.0,"Applicant must be Jewish, be under age 22, demonstrate financial need, and be a resident of Marin, San Francisco, San Mateo, or Sonoma County, Calif. Award is for a study trip to Israel.","Marin, San Francisco, San Mateo, Sonoma","['College sophomore', 'Master&#039;s-level study', 'Other postgraduate-level study', 'College junior', 'College senior', 'Doctoral-level study', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/jacob-rassen-memorial-scholarship
Stanley Olson Youth Scholarship,Unknown deadline,500.0,"Applicant must be Jewish, be under age 26, demonstrate financial need, and be a resident of Marin, San Francisco, San Mateo, or Sonoma County, Calif.","Marin, San Francisco, San Mateo, Sonoma","['College senior', 'College junior', 'College sophomore', 'Other postgraduate-level study', 'Doctoral-level study', 'Master&#039;s-level study', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/stanley-olson-youth-scholarship
"Scholarship for Children of Disabled, Deceased, Combat and POW/MIA Veterans",Unknown deadline,500.0,"Applicant must be the child of a deceased, disabled, or combat veteran or veteran listed as a POW/MIA. The veteran must have been a legal resident of North Carolina at the time of entry into service, or the child must have been born in North Carolina and resided there continuously since birth. Applicant must be attending a school in North Carolina.",North Carolina,"['College freshman', 'College sophomore', 'College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/scholarship-for-children-of-disabled-deceased-combat-and-powmia-veterans
American Legion-Alabama Scholarship,Unknown deadline,850.0,"Applicant must be the child or grandchild of a veteran of World War I, World War II, Korean Conflict, Vietnam Conflict, Beirut/Granada Emergency, or Panama Emergency. Applicant must attend an Alabama state-supported college. Self-addressed, stamped envelope is required to receive application.",Alabama,"['College senior', 'College junior', 'College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/american-legion-alabama-scholarship
Outstanding Senior Baseball Player Scholarship,Unknown deadline,500.0,"Applicant must be a participant in the Iowa American Legion Baseball Tournament and portray outstanding sportsmanship, team play, and athletic ability. Selection is by the State Baseball Committee.",Iowa,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/outstanding-senior-baseball-player-scholarship
Oratorical Speech Scholarship Contest,Unknown deadline,500.0,Applicant must be a finalist in the oratorical contest.,Michigan,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/oratorical-speech-scholarship-contest
Oratorical Contest Scholarship,Unknown deadline,500.0,Applicant must be a winner of the Nebraska Department Oratorical Contest.,Nebraska,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/oratorical-contest-scholarship
Medical and Teaching Scholarship,Unknown deadline,500.0,"Applicant must be a high school senior or graduate under 20 years of age, a New York state resident, the child or grandchild of a veteran, and be pursuing a career in medical or teaching fields.",New York,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/medical-and-teaching-scholarship
Verne R. Dapp Memorial Scholarship,Unknown deadline,500.0,"Applicant must be a U.S. citizen or permanent resident enrolled in a course of study relating to a degree in nuclear science and technology. Applicant must be sponsored by an ANS local section, division, student branch, committee member or organization member.",No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/verne-r-dapp-memorial-scholarship
Dental Student Scholarships,Unknown deadline,500.0,"Applicant must be a U.S. citizen and have a minimum 3.0 GPA. Selection is based upon financial need, academic achievement, and personal and professional goals. Two reference forms from two dental school representatives (i.e., professor or academic advisor) in support of the application must be submitted as part of the application form.",No Geographic Restrictions,"['College junior', 'College sophomore', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/dental-student-scholarships
Halton Foundation/Caterpillar Matching Grant,Unknown deadline,500.0,Applicant must be employed by the Halton Company.,"Washington, Oregon","['College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/halton-foundationcaterpillar-matching-grant
Maxine Williams Scholarship,Unknown deadline,500.0,"Selection is based upon interest in and a commitment to a career in medical assisting, financial need, academic ability, and demonstration of involvement in school and community. Award is limited to individuals enrolled in a post-secondary program accredited by the Commission on Accreditation of Allied Health Education Programs (CAAHEP). Students studying other allied health professions or planning to enter medical school are not eligible.",No Geographic Restrictions,"['College freshman', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/maxine-williams-scholarship
Navy Supply Corps Foundation Scholarship,Unknown deadline,500.0,"Applicant must be the child of a Navy Supply Corps Officer (including Warrant) or associated supply enlisted ratings on active duty, in reserve status, retired-with-pay, or deceased, and have a minimum 3.0 GPA. Selection is based upon scholastic ability, character, leadership, and financial need.",No Geographic Restrictions,"['College freshman', 'College senior', 'College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/navy-supply-corps-foundation-scholarship
NYS Regents Awards for Children of Deceased and Disabled Veterans,Unknown deadline,450.0,"Applicant must be enrolled full time in a New York state school or college, be a New York resident at the start of the term for which payment is requested, and be the child of a veteran who served in the U.S. Armed Forces during specified periods of war or national emergency, and, as a result of service, died or suffered a 40% or more disability, was a POW, or is currently classified as MIA. Veteran parent must have been a New York resident at the time of entry into service or at death.",New York,"['High school sophomore', 'High school junior', 'High school freshman', 'College sophomore', 'College senior', 'College freshman', 'College junior', 'High school senior']",https://www.collegescholarships.org/financial-aid/scholarship/nys-regents-awards-for-children-of-deceased-and-disabled-veterans
"Memorial Scholarship for Families of Deceased Police Officers, Firefighters, Peace Officers, and Emergency Medical Service Workers",Unknown deadline,500.0,"Applicant must be the child or spouse of a New York police officer, firefighter, or peace officer and a New York resident attending a New York school at the start of the term for which payment is requested. Parent must have died as a result of injury sustained in the line of duty. Award is actual tuition cost or SUNY undergraduate tuition, whichever is less.",New York,"['College sophomore', 'College senior', 'College freshman', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/memorial-scholarship-for-families-of-deceased-police-officers-firefighters-peace-officers-and-emergency-medical-service-workers
